,商店ID,门店所在城市,渠道,性别群体,年龄群体,产品类别,客户数量,销售金额,订单数量,购买的产品数量,成本,单价,利润,订单日期,星期
0,831.0,杭州,线下,女,20-24,T恤,1.0,59.0,1.0,1.0,49.0,59.0,10.0,2023-01-02,星期一
1,831.0,杭州,线下,女,20-24,袜子,1.0,40.0,1.0,2.0,9.0,20.0,22.0,2023-01-05,星期四
2,831.0,杭州,线下,女,<20,T恤,1.0,79.0,1.0,1.0,49.0,79.0,30.0,2023-01-08,星期日
3,831.0,杭州,线下,男,30-34,T恤,1.0,99.0,1.0,1.0,49.0,99.0,50.0,2023-01-09,星期一
4,831.0,杭州,线下,男,30-34,T恤,1.0,79.0,1.0,1.0,49.0,79.0,30.0,2023-01-09,星期一
5,831.0,杭州,线下,女,25-29,T恤,1.0,199.0,1.0,1.0,49.0,199.0,150.0,2023-01-13,星期五
6,831.0,杭州,线下,男,40-44,当季新品,1.0,199.0,1.0,1.0,59.0,199.0,140.0,2023-01-13,星期五
7,831.0,杭州,线下,男,20-24,短裤,2.0,72.0,2.0,2.0,19.0,36.0,34.0,2023-01-14,星期六
8,831.0,杭州,线下,女,30-34,当季新品,1.0,79.0,1.0,1.0,59.0,79.0,20.0,2023-01-15,星期日
9,831.0,杭州,线下,女,45-49,T恤,1.0,79.0,1.0,1.0,49.0,79.0,30.0,2023-01-19,星期四
10,831.0,杭州,线下,男,20-24,袜子,1.0,39.0,1.0,1.0,9.0,39.0,30.0,2023-01-22,星期日
11,831.0,杭州,线下,女,20-24,毛衣,3.0,297.0,3.0,3.0,99.0,99.0,0.0,2023-01-23,星期一
12,831.0,杭州,线下,男,20-24,短裤,1.0,40.0,1.0,1.0,19.0,40.0,21.0,2023-01-27,星期五
13,831.0,杭州,线下,女,30-34,T恤,1.0,249.0,1.0,1.0,49.0,249.0,200.0,2023-02-02,星期四
14,831.0,杭州,线下,男,35-39,T恤,2.0,115.16,2.0,2.0,49.0,58.0,17.159999999999997,2023-02-10,星期五
15,831.0,杭州,线下,男,30-34,裙子,1.0,158.0,1.0,2.0,59.0,79.0,40.0,2023-02-18,星期六
16,831.0,杭州,线下,女,30-34,T恤,1.0,79.0,1.0,1.0,49.0,79.0,30.0,2023-02-20,星期一
17,831.0,杭州,线下,男,30-34,T恤,1.0,79.0,1.0,1.0,49.0,79.0,30.0,2023-02-23,星期四
18,831.0,杭州,线下,女,40-44,当季新品,1.0,76.0,1.0,2.0,59.0,38.0,-42.0,2023-02-23,星期四
19,831.0,杭州,线下,女,30-34,T恤,2.0,198.0,2.0,2.0,49.0,99.0,100.0,2023-02-24,星期五
20,831.0,杭州,线下,女,25-29,短裤,1.0,33.0,1.0,1.0,19.0,33.0,14.0,2023-02-25,星期六
21,831.0,杭州,线下,男,35-39,配件,1.0,99.0,1.0,1.0,29.0,99.0,70.0,2023-02-25,星期六
22,831.0,杭州,线下,男,35-39,T恤,1.0,59.0,1.0,1.0,49.0,59.0,10.0,2023-02-27,星期一
23,831.0,杭州,线下,女,30-34,配件,1.0,149.0,1.0,1.0,29.0,149.0,120.0,2023-03-01,星期三
24,831.0,杭州,线下,女,30-34,当季新品,1.0,79.0,1.0,1.0,59.0,79.0,20.0,2023-03-01,星期三
25,831.0,杭州,线下,女,25-29,T恤,1.0,79.0,1.0,1.0,49.0,79.0,30.0,2023-03-10,星期五
26,831.0,杭州,线下,女,20-24,T恤,4.0,594.0,4.0,6.0,49.0,99.0,300.0,2023-03-12,星期日
27,831.0,杭州,线下,男,20-24,运动,2.0,66.34,2.0,2.0,49.0,33.0,-31.659999999999997,2023-03-15,星期三
28,831.0,杭州,线下,男,35-39,牛仔裤,1.0,59.0,1.0,1.0,69.0,59.0,-10.0,2023-03-16,星期四
29,831.0,杭州,线下,男,>=60,当季新品,1.0,79.0,1.0,1.0,59.0,79.0,20.0,2023-03-23,星期四
30,831.0,杭州,线下,女,35-39,T恤,1.0,59.0,1.0,1.0,49.0,59.0,10.0,2023-03-25,星期六
31,831.0,杭州,线下,男,>=60,T恤,1.0,198.0,1.0,2.0,49.0,99.0,100.0,2023-03-29,星期三
